,Student_Id,Sem,subject code,subject,subject_short,grade,credits
812,21pa1a6120,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,O,1.5
813,21pa1a6120,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,O,3
814,21pa1a6120,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
815,21pa1a6120,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,O,1.5
816,21pa1a6120,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.92
817,21pa1a6120,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,B,3
818,21pa1a6120,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,S,3
819,21pa1a6120,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,S,3
820,21pa1a6120,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
821,21pa1a6120,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
822,21pa1a6120,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,S,3
823,21pa1a6120,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
824,21pa1a6120,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,S,3
825,21pa1a6120,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,O,1.5
826,21pa1a6120,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,O,2
827,21pa1a6120,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.02
828,21pa1a6120,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,A,3
829,21pa1a6120,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,S,3
830,21pa1a6120,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,S,3
831,21pa1a6120,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,B,3
832,21pa1a6120,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,O,1.5
833,21pa1a6120,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,O,1.5
834,21pa1a6120,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,S,1.5
835,21pa1a6120,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
836,21pa1a6120,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,O,2
837,21pa1a6120,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,O,4
838,21pa1a6120,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,S,3
839,21pa1a6120,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9
840,21pa1a6121,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,S,3
841,21pa1a6121,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,S,3
842,21pa1a6121,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,O,3
843,21pa1a6121,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,A,3
844,21pa1a6121,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,O,3
845,21pa1a6121,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
846,21pa1a6121,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,O,1.5
847,21pa1a6121,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
848,21pa1a6121,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.38
