,Student_Id,Sem,subject code,subject,subject_short,grade,credits
64,21PA1A0102,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),B,3
65,21PA1A0102,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,S,1.5
66,21PA1A0102,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,C,3
67,21PA1A0102,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,A,1.5
68,21PA1A0102,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,S,1.5
69,21PA1A0102,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,S,2
70,21PA1A0102,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,B,3
71,21PA1A0102,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.26
72,21PA1A0102,II B.Tech - II Semester,  20BS4T01,"  Mathematics-IV (Numerical Methods, Probability & Statistics)", M-IV,S,3
73,21PA1A0102,II B.Tech - II Semester,  20CE4T01,  Strength of Materials -II, SOM-II,B,3
74,21PA1A0102,II B.Tech - II Semester,  20CE4T02,  Hydraulics and Hydraulic Machinery, HHM,B,3
75,21PA1A0102,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
76,21PA1A0102,II B.Tech - II Semester,  20CE4T03,  Environmental Engineering, EE,C,3
77,21PA1A0102,II B.Tech - II Semester,  20CE4P03,  Fluid Mechanics & Hydraulics Machinery Lab, FM & HM Lab,S,1.5
78,21PA1A0102,II B.Tech - II Semester,  20CE4P01,  Environmental Engineering Lab, EE Lab,S,1.5
79,21PA1A0102,II B.Tech - II Semester,  20CE4P04,  Advanced Construction Planning, ACP,O,2
80,21PA1A0102,II B.Tech - II Semester,  20CE4P02,  Strength of Materials Lab, SOM Lab,S,1.5
81,21PA1A0102,II B.Tech - II Semester,  20CE4J01,  Community Service Project, CSP,O,4
82,21PA1A0102,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,A,3
83,21PA1A0102,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.29
